Time, X, Y, Drive_Fwd, Drive_Turn, Climb, Level_Bin
0.0020, 0.0000, -0.0000, 0.5000, 0.0000, -0.0063, -0.0000
0.0040, 0.0000, 0.0000, 0.5000, 0.0000, -0.0124, -0.0000
0.0060, 0.0000, -0.0000, 0.5000, -0.0000, -0.0182, 0.0000
0.0080, 0.0000, 0.0000, 0.5000, -0.0000, -0.0239, 0.0001
0.0100, 0.0000, 0.0000, 0.5000, 0.0000, -0.0295, 0.0002
0.0120, 0.0000, 0.0000, 0.5000, -0.0000, -0.0349, 0.0003
0.0140, 0.0000, 0.0000, 0.5000, -0.0000, -0.0402, 0.0004
0.0160, 0.0000, 0.0000, 0.5000, -0.0000, -0.0454, 0.0005
0.0180, 0.0000, 0.0000, 0.5000, -0.0000, -0.0506, 0.0006
0.0200, 0.0000, 0.0000, 0.5000, -0.0000, -0.0556, 0.0007
0.0220, 0.0000, 0.0000, 0.5000, -0.0000, -0.0607, 0.0007
0.0240, 0.0000, 0.0000, 0.5000, -0.0000, -0.0656, 0.0008
0.0260, 0.0000, -0.0000, 0.5000, -0.0000, -0.0705, 0.0008
0.0280, 0.0000, -0.0000, 0.5000, -0.0000, -0.0753, 0.0008
0.0300, 0.0000, -0.0000, 0.5000, -0.0000, -0.0801, 0.0008
0.0320, 0.0000, -0.0000, 0.5000, -0.0000, -0.0849, 0.0008
0.0340, 0.0000, -0.0000, 0.5000, -0.0000, -0.0896, 0.0008
0.0360, 0.0001, -0.0000, 0.5000, -0.0000, -0.0943, 0.0008
0.0380, 0.0000, -0.0000, 0.5000, -0.0000, -0.0989, 0.0008
0.0400, 0.0000, -0.0000, 0.5000, -0.0000, -0.1034, 0.0008
0.0420, 0.0000, -0.0000, 0.5000, -0.0000, -0.1078, 0.0007
0.0440, 0.0000, -0.0000, 0.5000, -0.0000, -0.1121, 0.0007
0.0460, 0.0000, -0.0000, 0.5000, -0.0000, -0.1163, 0.0006
0.0480, 0.0000, -0.0000, 0.5000, -0.0000, -0.1204, 0.0006
0.0500, 0.0000, -0.0000, 0.5000, -0.0000, -0.1244, 0.0006
0.0520, 0.0000, -0.0000, 0.5000, -0.0000, -0.1283, 0.0005
0.0540, 0.0000, -0.0000, 0.5000, -0.0000, -0.1321, 0.0005
0.0560, 0.0000, -0.0000, 0.5000, -0.0000, -0.1359, 0.0004
0.0580, 0.0000, -0.0000, 0.5000, -0.0000, -0.1396, 0.0004
0.0600, 0.0000, -0.0000, 0.5000, -0.0000, -0.1432, 0.0003
0.0620, 0.0000, -0.0000, 0.5000, -0.0000, -0.1467, 0.0003
0.0640, 0.0000, -0.0000, 0.5000, -0.0000, -0.1502, 0.0002
0.0660, 0.0000, -0.0000, 0.5000, -0.0000, -0.1536, 0.0002
0.0680, 0.0000, 0.0000, 0.5000, -0.0000, -0.1569, 0.0002
0.0700, 0.0000, 0.0000, 0.5000, -0.0000, -0.1602, 0.0001
0.0720, 0.0000, 0.0000, 0.5000, -0.0000, -0.1635, 0.0001
0.0740, -0.0000, 0.0000, 0.5000, -0.0000, -0.1667, 0.0001
0.0760, -0.0000, 0.0000, 0.5000, -0.0000, -0.1698, 0.0000
0.0780, -0.0000, 0.0000, 0.5000, -0.0000, -0.1729, -0.0000
0.0800, -0.0000, 0.0000, 0.5000, -0.0000, -0.1760, -0.0000
0.0820, -0.0000, 0.0000, 0.5000, -0.0000, -0.1790, -0.0001
0.0840, -0.0000, 0.0000, 0.5000, -0.0000, -0.1820, -0.0001
0.0860, -0.0000, 0.0000, 0.5000, -0.0000, -0.1850, -0.0001
0.0880, -0.0000, 0.0000, 0.5000, -0.0000, -0.1880, -0.0001
0.0900, -0.0000, 0.0000, 0.5000, -0.0000, -0.1909, -0.0001
0.0920, -0.0000, 0.0000, 0.5000, -0.0000, -0.1937, -0.0002
0.0940, -0.0000, 0.0000, 0.5000, -0.0000, -0.1966, -0.0002
0.0960, -0.0000, 0.0000, 0.5000, -0.0000, -0.1994, -0.0002
0.0980, -0.0000, 0.0000, 0.5000, -0.0000, -0.2022, -0.0002
0.1000, -0.0000, 0.0000, 0.5000, -0.0000, -0.2050, -0.0002
0.1020, -0.0000, 0.0000, 0.5000, -0.0000, -0.2077, -0.0002
0.1040, -0.0000, 0.0000, 0.5000, -0.0000, -0.2104, -0.0002
0.1060, -0.0000, 0.0000, 0.5000, -0.0000, -0.2131, -0.0002
0.1080, -0.0000, 0.0000, 0.5000, -0.0000, -0.2158, -0.0002
0.1100, -0.0000, 0.0000, 0.5000, -0.0000, -0.2184, -0.0002
0.1120, -0.0000, 0.0000, 0.5000, -0.0000, -0.2210, -0.0002
0.1140, -0.0000, 0.0000, 0.5000, -0.0000, -0.2235, -0.0002
0.1160, -0.0000, 0.0000, 0.5000, -0.0000, -0.2260, -0.0002
0.1180, -0.0000, 0.0000, 0.5000, -0.0000, -0.2285, -0.0002
0.1200, 0.0000, -0.0000, 0.5000, -0.0000, -0.2292, -0.0002
0.1220, 0.0002, -0.0000, 0.5000, 0.0000, -0.2278, -0.0000
0.1240, 0.0004, -0.0000, 0.5000, -0.0001, -0.2184, 0.0003
0.1260, 0.0007, -0.0000, 0.5000, -0.0001, -0.2025, 0.0010
0.1280, 0.0011, 0.0000, 0.5000, -0.0002, -0.1815, 0.0022
0.1300, 0.0015, 0.0000, 0.5000, -0.0002, -0.1561, 0.0036
0.1320, 0.0020, 0.0000, 0.5000, -0.0001, -0.1267, 0.0054
0.1340, 0.0025, 0.0000, 0.5000, -0.0000, -0.0930, 0.0074
0.1360, 0.0031, 0.0000, 0.5000, 0.0001, -0.0548, 0.0096
0.1380, 0.0037, 0.0000, 0.5000, 0.0003, -0.0137, 0.0120
0.1400, 0.0044, 0.0000, 0.5000, 0.0006, 0.0302, 0.0146
0.1420, 0.0051, 0.0001, 0.5000, 0.0008, 0.0776, 0.0165
0.1440, 0.0059, 0.0001, 0.5000, 0.0009, 0.1277, 0.0178
0.1460, 0.0067, 0.0001, 0.5000, 0.0010, 0.1791, 0.0187
0.1480, 0.0075, 0.0001, 0.5000, 0.0011, 0.2311, 0.0191
0.1500, 0.0083, 0.0001, 0.5000, 0.0012, 0.2827, 0.0192
0.1520, 0.0091, 0.0001, 0.5000, 0.0014, 0.3333, 0.0190
0.1540, 0.0099, 0.0000, 0.5000, 0.0016, 0.3827, 0.0185
0.1560, 0.0107, 0.0000, 0.5000, 0.0019, 0.4305, 0.0178
0.1580, 0.0115, 0.0000, 0.5000, 0.0022, 0.4767, 0.0168
0.1600, 0.0124, 0.0000, 0.5000, 0.0024, 0.5212, 0.0157
0.1620, 0.0132, 0.0000, 0.5000, 0.0025, 0.5639, 0.0145
0.1640, 0.0141, 0.0000, 0.5000, 0.0025, 0.6049, 0.0132
0.1660, 0.0149, 0.0000, 0.5000, 0.0024, 0.6442, 0.0118
0.1680, 0.0158, 0.0000, 0.5000, 0.0022, 0.6819, 0.0103
0.1700, 0.0167, 0.0001, 0.5000, 0.0020, 0.7182, 0.0090
0.1720, 0.0176, 0.0001, 0.5000, 0.0018, 0.7537, 0.0079
0.1740, 0.0184, 0.0001, 0.5000, 0.0015, 0.7838, 0.0070
0.1760, 0.0192, 0.0001, 0.5000, 0.0011, 0.8099, 0.0066
0.1780, 0.0200, 0.0001, 0.5000, 0.0009, 0.8332, 0.0064
0.1800, 0.0207, 0.0001, 0.5000, 0.0008, 0.8541, 0.0066
0.1820, 0.0215, 0.0001, 0.5000, 0.0008, 0.8731, 0.0071
0.1840, 0.0223, 0.0001, 0.5000, 0.0008, 0.8907, 0.0078
0.1860, 0.0231, 0.0000, 0.5000, 0.0010, 0.9075, 0.0088
0.1880, 0.0239, 0.0000, 0.5000, 0.0013, 0.9238, 0.0100
0.1900, 0.0248, 0.0000, 0.5000, 0.0016, 0.9400, 0.0113
0.1920, 0.0256, 0.0000, 0.5000, 0.0018, 0.9556, 0.0129
0.1940, 0.0265, 0.0000, 0.5000, 0.0019, 0.9709, 0.0145
0.1960, 0.0274, 0.0000, 0.5000, 0.0020, 0.9859, 0.0162
0.1980, 0.0283, 0.0000, 0.5000, 0.0020, 1.0008, 0.0179
0.2000, 0.0293, 0.0000, 0.5000, 0.0019, 1.0158, 0.0198
0.2020, 0.0303, 0.0000, 0.5000, 0.0018, 1.0308, 0.0216
0.2040, 0.0313, 0.0000, 0.5000, 0.0016, 1.0470, 0.0236
0.2060, 0.0324, 0.0000, 0.5000, 0.0014, 1.0641, 0.0254
0.2080, 0.0336, 0.0001, 0.5000, 0.0011, 1.0817, 0.0273
0.2100, 0.0348, 0.0001, 0.5000, 0.0008, 1.0996, 0.0291
0.2120, 0.0360, 0.0001, 0.5000, 0.0005, 1.1176, 0.0309
0.2140, 0.0373, 0.0001, 0.5000, 0.0003, 1.1354, 0.0326
0.2160, 0.0386, 0.0001, 0.5000, 0.0002, 1.1530, 0.0344
0.2180, 0.0400, 0.0001, 0.5000, 0.0001, 1.1702, 0.0361
0.2200, 0.0413, 0.0001, 0.5000, 0.0000, 1.1868, 0.0378
0.2220, 0.0428, 0.0001, 0.5000, 0.0000, 1.2029, 0.0395
0.2240, 0.0442, 0.0001, 0.5000, 0.0001, 1.2183, 0.0412
0.2260, 0.0456, 0.0001, 0.5000, 0.0001, 1.2323, 0.0429
0.2280, 0.0471, 0.0001, 0.5000, 0.0001, 1.2450, 0.0445
0.2300, 0.0485, 0.0001, 0.5000, 0.0001, 1.2566, 0.0461
0.2320, 0.0500, 0.0001, 0.5000, 0.0001, 1.2672, 0.0476
0.2340, 0.0515, 0.0001, 0.5000, 0.0001, 1.2767, 0.0491
0.2360, 0.0530, 0.0001, 0.5000, 0.0001, 1.2854, 0.0505
0.2380, 0.0544, 0.0001, 0.5000, 0.0000, 1.2934, 0.0519
0.2400, 0.0559, 0.0001, 0.5000, -0.0000, 1.3006, 0.0532
0.2420, 0.0574, 0.0001, 0.5000, -0.0001, 1.3072, 0.0545
0.2440, 0.0589, 0.0001, 0.5000, -0.0002, 1.3132, 0.0558
0.2460, 0.0605, 0.0001, 0.5000, -0.0003, 1.3186, 0.0570
0.2480, 0.0620, 0.0001, 0.5000, -0.0004, 1.3236, 0.0582
0.2500, 0.0635, 0.0001, 0.5000, -0.0005, 1.3282, 0.0593
0.2520, 0.0650, 0.0001, 0.5000, -0.0005, 1.3325, 0.0603
0.2540, 0.0666, 0.0001, 0.5000, -0.0006, 1.3364, 0.0614
0.2560, 0.0681, 0.0001, 0.5000, -0.0006, 1.3400, 0.0624
0.2580, 0.0697, 0.0001, 0.5000, -0.0006, 1.3433, 0.0633
0.2600, 0.0712, 0.0001, 0.5000, -0.0006, 1.3464, 0.0642
0.2620, 0.0728, 0.0001, 0.5000, -0.0006, 1.3496, 0.0650
0.2640, 0.0744, 0.0001, 0.5000, -0.0006, 1.3530, 0.0659
0.2660, 0.0760, 0.0001, 0.5000, -0.0006, 1.3567, 0.0667
0.2680, 0.0777, 0.0001, 0.5000, -0.0007, 1.3604, 0.0676
0.2700, 0.0794, 0.0001, 0.5000, -0.0007, 1.3644, 0.0685
0.2720, 0.0811, 0.0001, 0.5000, -0.0008, 1.3685, 0.0695
0.2740, 0.0828, 0.0001, 0.5000, -0.0008, 1.3728, 0.0705
0.2760, 0.0845, 0.0001, 0.5000, -0.0007, 1.3771, 0.0715
0.2780, 0.0863, 0.0001, 0.5000, -0.0007, 1.3816, 0.0725
0.2800, 0.0881, 0.0001, 0.5000, -0.0008, 1.3860, 0.0736
0.2820, 0.0899, 0.0001, 0.5000, -0.0008, 1.3906, 0.0747
0.2840, 0.0918, 0.0001, 0.5000, -0.0008, 1.3951, 0.0758
0.2860, 0.0937, 0.0001, 0.5000, -0.0008, 1.3995, 0.0769
0.2880, 0.0955, 0.0001, 0.5000, -0.0008, 1.4040, 0.0781
0.2900, 0.0975, 0.0001, 0.5000, -0.0008, 1.4084, 0.0792
0.2920, 0.0994, 0.0001, 0.5000, -0.0008, 1.4127, 0.0804
0.2940, 0.1014, 0.0001, 0.5000, -0.0008, 1.4169, 0.0816
0.2960, 0.1033, 0.0001, 0.5000, -0.0009, 1.4211, 0.0828
0.2980, 0.1053, 0.0001, 0.5000, -0.0008, 1.4251, 0.0841
0.3000, 0.1073, 0.0001, 0.5000, -0.0008, 1.4291, 0.0853
0.3020, 0.1094, 0.0001, 0.5000, -0.0008, 1.4329, 0.0865
0.3040, 0.1114, 0.0001, 0.5000, -0.0008, 1.4366, 0.0878
0.3060, 0.1135, 0.0001, 0.5000, -0.0008, 1.4402, 0.0890
0.3080, 0.1156, 0.0001, 0.5000, -0.0009, 1.4437, 0.0903
0.3100, 0.1177, 0.0001, 0.5000, -0.0008, 1.4470, 0.0915
0.3120, 0.1198, 0.0001, 0.5000, -0.0008, 1.4502, 0.0928
0.3140, 0.1219, 0.0002, 0.5000, -0.0008, 1.4533, 0.0941
0.3160, 0.1241, 0.0002, 0.5000, -0.0008, 1.4563, 0.0953
0.3180, 0.1262, 0.0002, 0.5000, -0.0009, 1.4592, 0.0966
0.3200, 0.1284, 0.0002, 0.5000, -0.0009, 1.4620, 0.0979
0.3220, 0.1306, 0.0002, 0.5000, -0.0008, 1.4647, 0.0991
0.3240, 0.1328, 0.0002, 0.5000, -0.0008, 1.4672, 0.1004
0.3260, 0.1350, 0.0002, 0.5000, -0.0008, 1.4697, 0.1017
0.3280, 0.1373, 0.0002, 0.5000, -0.0008, 1.4721, 0.1029
0.3300, 0.1395, 0.0002, 0.5000, -0.0008, 1.4744, 0.1042
0.3320, 0.1418, 0.0002, 0.5000, -0.0008, 1.4765, 0.1055
0.3340, 0.1440, 0.0002, 0.5000, -0.0008, 1.4786, 0.1068
0.3360, 0.1463, 0.0002, 0.5000, -0.0008, 1.4807, 0.1080
0.3380, 0.1486, 0.0002, 0.5000, -0.0008, 1.4826, 0.1093
0.3400, 0.1509, 0.0002, 0.5000, -0.0008, 1.4845, 0.1105
0.3420, 0.1532, 0.0002, 0.5000, -0.0008, 1.4863, 0.1118
0.3440, 0.1555, 0.0002, 0.5000, -0.0008, 1.4880, 0.1131
0.3460, 0.1579, 0.0002, 0.5000, -0.0008, 1.4897, 0.1143
0.3480, 0.1602, 0.0002, 0.5000, -0.0008, 1.4913, 0.1156
0.3500, 0.1626, 0.0002, 0.5000, -0.0008, 1.4928, 0.1168
0.3520, 0.1649, 0.0002, 0.5000, -0.0008, 1.4943, 0.1181
0.3540, 0.1673, 0.0002, 0.5000, -0.0008, 1.4954, 0.1193
0.3560, 0.1697, 0.0002, 0.5000, -0.0008, 1.4963, 0.1205
0.3580, 0.1720, 0.0002, 0.5000, -0.0008, 1.4971, 0.1218
0.3600, 0.1744, 0.0002, 0.5000, -0.0008, 1.4977, 0.1230
0.3620, 0.1768, 0.0002, 0.5000, -0.0008, 1.4981, 0.1242
0.3640, 0.1792, 0.0002, 0.5000, -0.0008, 1.4985, 0.1255
0.3660, 0.1817, 0.0002, 0.5000, -0.0008, 1.4988, 0.1267
0.3680, 0.1841, 0.0002, 0.5000, -0.0008, 1.4990, 0.1279
0.3700, 0.1865, 0.0002, 0.5000, -0.0008, 1.4992, 0.1291
0.3720, 0.1890, 0.0002, 0.5000, -0.0008, 1.4994, 0.1303
0.3740, 0.1914, 0.0002, 0.5000, -0.0008, 1.4995, 0.1315
0.3760, 0.1939, 0.0002, 0.5000, -0.0008, 1.4996, 0.1327
0.3780, 0.1963, 0.0002, 0.5000, -0.0008, 1.4997, 0.1339
0.3800, 0.1988, 0.0002, 0.5000, -0.0008, 1.4997, 0.1351
0.3820, 0.2013, 0.0002, 0.5000, -0.0008, 1.4998, 0.1363
0.3840, 0.2037, 0.0002, 0.5000, -0.0008, 1.4998, 0.1375
0.3860, 0.2062, 0.0002, 0.5000, -0.0008, 1.4999, 0.1386
0.3880, 0.2087, 0.0002, 0.5000, -0.0008, 1.4999, 0.1398
0.3900, 0.2112, 0.0002, 0.5000, -0.0008, 1.4999, 0.1410
0.3920, 0.2137, 0.0002, 0.5000, -0.0008, 1.4999, 0.1421
0.3940, 0.2162, 0.0002, 0.5000, -0.0008, 1.4999, 0.1433
0.3960, 0.2188, 0.0002, 0.5000, -0.0007, 1.5000, 0.1444
0.3980, 0.2213, 0.0002, 0.5000, -0.0007, 1.5000, 0.1456
0.4000, 0.2238, 0.0002, 0.5000, -0.0007, 1.5000, 0.1467
0.4020, 0.2263, 0.0002, 0.5000, -0.0008, 1.5000, 0.1479
0.4040, 0.2289, 0.0002, 0.5000, -0.0008, 1.5000, 0.1490
0.4060, 0.2314, 0.0002, 0.5000, -0.0007, 1.5000, 0.1501
0.4080, 0.2340, 0.0002, 0.5000, -0.0007, 1.5000, 0.1512
0.4100, 0.2365, 0.0002, 0.5000, -0.0007, 1.5000, 0.1524
0.4120, 0.2391, 0.0002, 0.5000, -0.0007, 1.5000, 0.1535
0.4140, 0.2417, 0.0002, 0.5000, -0.0007, 1.5000, 0.1546
0.4160, 0.2442, 0.0002, 0.5000, -0.0007, 1.5000, 0.1557
0.4180, 0.2468, 0.0002, 0.5000, -0.0007, 1.5000, 0.1568
0.4200, 0.2494, 0.0002, 0.5000, -0.0007, 1.5000, 0.1579
0.4220, 0.2520, 0.0002, 0.5000, -0.0007, 1.5000, 0.1590
0.4240, 0.2546, 0.0002, 0.5000, -0.0007, 1.5000, 0.1600
0.4260, 0.2572, 0.0002, 0.5000, -0.0007, 1.5000, 0.1611
0.4280, 0.2598, 0.0002, 0.5000, -0.0007, 1.5000, 0.1622
0.4300, 0.2624, 0.0002, 0.5000, -0.0007, 1.5000, 0.1633
0.4320, 0.2650, 0.0002, 0.5000, -0.0007, 1.5000, 0.1643
0.4340, 0.2676, 0.0002, 0.5000, -0.0007, 1.5000, 0.1654
0.4360, 0.2702, 0.0002, 0.5000, -0.0007, 1.5000, 0.1664
0.4380, 0.2728, 0.0002, 0.5000, -0.0007, 1.5000, 0.1675
0.4400, 0.2755, 0.0002, 0.5000, -0.0007, 1.5000, 0.1685
0.4420, 0.2781, 0.0002, 0.5000, -0.0007, 1.5000, 0.1696
0.4440, 0.2807, 0.0002, 0.5000, -0.0007, 1.5000, 0.1706
0.4460, 0.2834, 0.0002, 0.5000, -0.0007, 1.5000, 0.1716
0.4480, 0.2860, 0.0002, 0.5000, -0.0007, 1.5000, 0.1727
0.4500, 0.2886, 0.0002, 0.5000, -0.0007, 1.5000, 0.1737
0.4520, 0.2913, 0.0002, 0.5000, -0.0007, 1.5000, 0.1747
0.4540, 0.2939, 0.0002, 0.5000, -0.0007, 1.5000, 0.1757
0.4560, 0.2966, 0.0002, 0.5000, -0.0007, 1.5000, 0.1767
0.4580, 0.2993, 0.0002, 0.5000, -0.0007, 1.5000, 0.1777
0.4600, 0.3019, 0.0002, 0.5000, -0.0007, 1.5000, 0.1787
